Player,Team,Conference,GP,MPG,ORtg,USG,eFG%,TS%,ORB%,DRB%,AST%,TO%,FTM,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,BLK%,STL%,FTR,Class,Height,Number,PORPAG,Adj_O_Eff,Foul_rate,Year,ID,Hometown,Recruiting_Rank,A_TO_Rate,Rim_Made,Rim_Missed,Mid_Made,Mid_Missed,Rim%,Mid%,Dunks,Dunks_Attempts,Dunk%,Draft_Spot,DRTG,Adj_DRTG,D_PORPAG,stops,BPM,O_BPM,D_BPM,G_BPM,MPG,OG_BPM,DG_BPM,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,PTS_PG,Position_Advanced,3PT/100
Kaosi Ezeagu,New Mexico St.,CUSA,19,63.1,102,17.1,57.7,58.18,9.9,15.7,4.1,21.5,27,47,0.574,60,103,0.583,0,1,0,2.3,1.1,45.2,Sr,6-10,1,0.979477,100.245,5.4,2024,65619,"Brampton, ON",,0.30303874,43,65,17,38,0.6615,0.4474,15,16,0.9375,,107.47,106.844,2.12088,84.8596,-0.808939,-1.60662,0.797684,-2.05907,24.8696,-1.81032,-0.248754,2.1739,3.7391,5.913,0.4348,0.4348,0.4783,8.3043,C,0.118827
Jack Clark,Clemson,ACC,12,21.2,101,13.7,32.9,38.65,7.5,18.5,10,9,8,9,0.889,6,19,0.316,5,22,0.227,2.4,1.6,22,Sr,6-10,5,0.315794,94.9599,3.8,2024,65627,"Cheltenham, PA",,3.00030008,3,11,2,4,0.2727,0.5,1,2,0.5,,103.487,98.3451,1.75153,36.4443,2.55582,0.628542,1.92728,1.28823,15.75,-0.782521,2.07075,1,2.6667,3.6667,1,0.4167,0.3333,2.9167,PF/C,6.83843
Jahvon Quinerly,Memphis,Amer,22,79.4,112.7,21.5,49.8,55.26,0.8,9.8,27.3,18.2,67,81,0.827,54,114,0.474,38,109,0.349,0.3,1.9,36.3,Sr,6-1,11,3.06076,116.821,2.2,2024,65630,"Hackensack, NJ",94.4,2.14000951,35,65,19,49,0.5385,0.3878,0,0,,,107.383,105.026,2.87069,114.163,1.08557,2.70381,-1.61824,1.62199,32.1364,1.96932,-0.347328,0.2273,3,3.2273,4.8636,1.0909,0.0909,13.1364,Scoring PG,8.53688
Dre Fuller Jr.,UTSA,Amer,21,59,91.5,22.6,42.4,45.01,4.6,18,9.5,16.5,27,38,0.711,38,96,0.396,32,107,0.299,2.2,1.5,18.7,Sr,6-6,4,0.327864,93.0681,3.2,2024,65639,"Fayetteville, NC",23,0.77145018,26,57,12,39,0.4561,0.3077,1,1,1,,113.546,114.838,1.32755,94.7725,-4.36626,-2.0139,-2.35236,-4.38151,24.2727,-1.60659,-2.77492,1.0909,4,5.0909,1.2273,0.6364,0.5,9.3182,Stretch 4,11.7458
Bryce Workman,Jacksonville,ASun,8,26,133.3,18.4,70.8,74.05,8.2,23.1,7.3,16.7,27,34,0.794,25,37,0.676,6,11,0.545,2.2,1.4,70.8,Sr,6-7,5,3.59749,128.745,3.8,2024,65644,"Tampa, FL",,0.53332932,16,24,9,13,0.6667,0.6923,1,1,1,,109.099,110.309,1.88127,39.9088,1.40019,2.56979,-1.1696,3.54762,25.4444,3.91831,-0.370686,1.7778,5.4444,7.2222,0.8889,0.7778,0.4444,12.3333,PF/C,3.06918
Connor Vanover,Missouri,SEC,19,25,119.5,16,54.4,58.48,6.8,19.5,6,9.9,13,15,0.867,25,38,0.658,4,19,0.211,8.5,2.9,26.3,Sr,7-5,75,1.08059,116.01,2.5,2024,65651,"Little Rock, AR",29.6,1.1665611,19,28,6,10,0.6786,0.6,15,17,0.8824,,101.568,97.2341,1.3564,49.3354,5.02466,0.855966,4.16869,5.39909,11.6316,2.77587,2.62322,0.6842,1.9474,2.6316,0.3684,0.5789,0.8421,3.9474,PF/C,5.03543
Jahmar Young Jr.,Texas Southern,SWAC,16,35.1,92.5,19,35.1,43.75,15,12.4,5.3,18.2,29,46,0.63,20,55,0.364,0,2,0,4.9,0.2,80.7,Sr,6-11,2,0.15775,91.7856,6.4,2024,65660,"Dallas, TX",26.8,0.38893087,17,39,3,16,0.4359,0.1875,8,8,1,,106.147,105.97,1.45293,42.2376,-3.72444,-4.08617,0.361729,-5.76896,16.9412,-4.53216,-1.23679,2.3529,2,4.3529,0.4118,0.0588,1,4.6471,C,0.430817
Moses Wood,Washington,P12,22,79.4,118.1,15.6,54.4,58.11,3.3,12.9,3.3,9,43,50,0.86,31,66,0.47,54,140,0.386,1.8,0.9,24.3,Sr,6-8,13,2.93228,115.653,2.9,2024,65666,"Reno, NV",44.4,0.77780493,13,25,18,41,0.52,0.439,1,3,0.3333,,107.898,103.168,3.07578,117.973,4.08383,3.74103,0.342808,3.56259,32.5,3.26354,0.299048,0.9091,3.8182,4.7273,0.6364,0.5,0.5909,12.1364,Stretch 4,10.9114
Quentin Millora-Brown,The Citadel,SC,20,82,111,18.6,55.6,55.98,10.8,20.2,13,16.4,43,79,0.544,76,127,0.598,2,15,0.133,4.5,1.4,55.6,Sr,6-10,42,2.04798,107.058,3,2024,65676,"Lorton, VA",,1.29732072,68,105,8,22,0.6476,0.3636,8,11,0.7273,,103.277,104.302,3.04518,130.485,3.00845,0.627673,2.38078,1.28785,32.1739,0.45064,0.837213,3.1304,6.0435,9.1739,2.087,0.7391,1.3478,10.3913,PF/C,1.38115
Blake Brinkmeyer,Tarleton St.,WAC,1,1.3,209.4,1.5,0,0,11.6,36.4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Sr,6-8,40,2.74706,168.227,0,2024,65680,"West Des Moines, IA",,,,,,,,,,,,,87.9032,80.1033,1.76824,2.94131,-3.5107,-3.80242,0.291716,4.09396,10,1.46831,2.62565,1,3,4,0,1,0,0,PF/C,0
